MOUSEID,SEX,DIET,CHOICE_SESSION,PELLET_TYPE,AVG_BREAKPOINTS,MAX_PELLETS,COST,EFFICIENCY
FEDXDF18,F,NR,4,CAS5,42.5,91,23.459731406922586,0.9606219748507755
FEDXDF18,F,NR,4,SUC,28.5,60,16.984371803788406,0.9530947242756784
FEDXDF19,F,NR,4,CAS5,22.5,98,20.304734441251533,0.9777694449618854
FEDXDF19,F,NR,4,SUC,10.666666666666666,55,11.200238440804478,0.9412038872167023
FEDXDF20,F,NR,4,CAS5,18.0,66,21.839319129029516,0.9423765966485634
FEDXDF20,F,NR,4,SUC,12.0,51,19.85972925379705,0.9308799859680981
FEDXDM1,M,PR,4,CAS5,12.4,86,25.847468488632348,0.9735926513928613
FEDXDM1,M,PR,4,SUC,15.25,66,24.908686776664304,0.9460592066542848
FEDXDM2,M,PR,4,CAS5,36.5,82,24.563177149785357,0.9527854420891136
FEDXDM2,M,PR,4,SUC,18.4,53,20.514276958575188,0.9409924663316716
FEDXDM3,M,PR,4,CAS5,38.8,103,30.45968530041193,0.9643917172533918
FEDXDM3,M,PR,4,SUC,30.0,55,23.077775900987362,0.9571274725148754
FEDXDM4,M,PR,4,CAS5,12.333333333333334,96,27.103174712437962,0.9414639587563098
FEDXDM4,M,PR,4,SUC,5.5,47,17.458483671546436,0.9214946809155861
FEDXDM5,M,PR,4,CAS5,22.0,81,18.92439798200447,0.9105836694285031
FEDXDM5,M,PR,4,SUC,25.0,56,20.032978160311142,0.8594253207197708
FEDXDM6,M,PR,4,CAS5,24.333333333333332,87,21.171867848219044,0.9578856958566021
FEDXDM6,M,PR,4,SUC,15.666666666666666,61,19.90944298350466,0.9155402137109186
FEDXDM7,M,PR,4,CAS5,13.5,76,22.57687198729185,0.9420064325878167
FEDXDM7,M,PR,4,SUC,2.6666666666666665,39,17.962579539085425,0.9363794170218617
FEDXDM8,M,PR,4,CAS5,21.333333333333332,86,29.173324490556094,0.9452523261237492
FEDXDM8,M,PR,4,SUC,8.5,59,21.47880531029026,0.9382834249420884
FEDXDM9,M,PR,4,CAS5,12.4,85,26.004711995151766,0.935998122386132
FEDXDM9,M,PR,4,SUC,16.0,40,13.894636471990465,0.8019261195569926
FEDXDM10,M,PR,4,CAS5,15.333333333333334,67,23.480345892526252,0.882330495492568
FEDXDM10,M,PR,4,SUC,3.6,45,18.32187164431447,0.8820938026951308
FEDXDM11,M,NR,4,CAS5,18.181818181818183,105,11.521060213195044,0.9447541287633142
FEDXDM11,M,NR,4,SUC,7.6,44,5.628272961606295,0.7775466216849405
FEDXDM12,M,NR,4,CAS5,16.75,74,9.869726232889555,0.8846130414048533
FEDXDM12,M,NR,4,SUC,10.857142857142858,43,7.841863784665579,0.8268170237468153
FEDXDM13,M,NR,4,CAS5,22.4,75,16.406150613766208,0.9300766221009727
FEDXDM13,M,NR,4,SUC,16.0,41,14.219989423585405,0.9037035377411332
FEDXDM14,M,NR,4,CAS5,17.714285714285715,78,13.267431614810754,0.9530990654415943
FEDXDM14,M,NR,4,SUC,17.2,58,12.626056639147453,0.9029430859121402
FEDXDM15,M,NR,4,CAS5,23.142857142857142,91,17.85018653855982,0.9273384274722416
FEDXDM15,M,NR,4,SUC,14.0,48,18.3159525917853,0.9020965883262687
FEDXDM16,M,NR,4,CAS5,24.333333333333332,78,20.256195726978188,0.9461434136175577
FEDXDM16,M,NR,4,SUC,17.2,52,18.17155035770895,0.9220680412886565
FEDXDM17,M,NR,4,CAS5,14.444444444444445,77,12.756594891871737,0.8877693338133743
FEDXDM17,M,NR,4,SUC,10.5,52,11.36766996633335,0.8545483390875369
FEDXDM18,M,NR,4,CAS5,16.166666666666668,106,14.435464977660754,0.9377010014383218
FEDXDM18,M,NR,4,SUC,10.285714285714286,45,11.847638022335238,0.8656096654702302
FEDXDM19,M,NR,4,CAS5,21.666666666666668,70,19.57889362228847,0.9378858724305436
FEDXDM19,M,NR,4,SUC,16.8,49,15.662892826318728,0.8641986375044819
FEDXDM20,M,NR,4,CAS5,15.428571428571429,58,14.66481406628941,0.9311829474872954
FEDXDM20,M,NR,4,SUC,22.0,39,12.839598064756233,0.8787085107376482
